Module                  Size  Used by
md_mod                225280  4 raid1,raid10,raid0,raid456
xfs                  2584576  0
btrfs                2113536  1
blake2b_generic        24576  0
xor                    20480  2 async_xor,btrfs
raid6_pq              122880  4 async_pq,btrfs,raid456,async_raid6_recov
libcrc32c              12288  6 nf_conntrack,nf_nat,btrfs,nf_tables,xfs,raid456
ext4                 1130496  0
mbcache                16384  1 ext4
jbd2                  196608  1 ext4
crc32c_generic         12288  0
nls_ascii              12288  1
amdgpu              14340096  12
nouveau              3092480  2
drm_gpuvm              45056  1 nouveau
amdxcp                 12288  1 amdgpu
mxm_wmi                12288  1 nouveau
drm_exec               12288  3 drm_gpuvm,amdgpu,nouveau
drm_buddy              20480  1 amdgpu
gpu_sched              65536  2 amdgpu,nouveau
drm_suballoc_helper    12288  1 amdgpu
i2c_algo_bit           12288  2 amdgpu,nouveau
drm_display_helper    270336  2 amdgpu,nouveau
cec                    69632  1 drm_display_helper
crct10dif_pclmul       12288  1
hid_multitouch         32768  0
rc_core                73728  1 cec
crc32_pclmul           12288  0
drm_ttm_helper         16384  4 vmwgfx,amdgpu,nouveau
crc32c_intel           16384  2
hid_generic            12288  0
ttm                   102400  4 vmwgfx,amdgpu,drm_ttm_helper,nouveau
i2c_hid_acpi           12288  0
xhci_pci               24576  0
i2c_hid                40960  1 i2c_hid_acpi
drm_kms_helper        241664  5 vmwgfx,drm_display_helper,amdgpu,drm_ttm_helper,nouveau
xhci_hcd              360448  1 xhci_pci
hid                   253952  3 i2c_hid,hid_multitouch,hid_generic
r8169                 118784  0
ghash_clmulni_intel    16384  0
realtek                45056  1
drm                   757760  20 vmwgfx,gpu_sched,i2c_hid,drm_kms_helper,drm_exec,drm_gpuvm,drm_suballoc_helper,drm_display_helper,drm_buddy,amdgpu,drm_ttm_helper,ttm,amdxcp,nouveau
mdio_devres            12288  1 r8169
nvme                   57344  2
sha512_ssse3           45056  0
usbcore               401408  5 xhci_hcd,btmtk,uvcvideo,btusb,xhci_pci
sha256_ssse3           32768  0
libphy                225280  3 r8169,mdio_devres,realtek
sha1_ssse3             32768  0
nvme_core             196608  3 nvme
usb_common             16384  4 xhci_hcd,usbcore,uvcvideo,typec_ucsi
i2c_piix4              28672  0
crc16                  12288  3 bluetooth,amdgpu,ext4
i2c_smbus              16384  1 i2c_piix4
video                  81920  4 asus_wmi,amdgpu,asus_nb_wmi,nouveau
battery                28672  1 asus_wmi
fan                    24576  0
button                 24576  1 nouveau
wmi                    32768  5 video,asus_wmi,wmi_bmof,mxm_wmi,nouveau
aesni_intel           122880  3
gf128mul               16384  1 aesni_intel
crypto_simd            16384  1 aesni_intel
cryptd                 28672  3 crypto_simd,ghash_clmulni_intel
